date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-08-09,20.4,20.57,20.1,20.16,2.87999712,942100,0.0,1.0
2006-08-08,20.8,20.8,20.23,20.3,2.8999971,995400,0.0,1.0
2006-08-07,21.0,21.05,20.45,20.68,2.95428276,912000,0.0,1.0
2006-08-04,20.58,21.75,20.55,20.96,2.99428272,2484500,0.0,1.0
2006-08-03,20.75,20.75,20.1,20.39,2.91285423,1912200,0.0,1.0
2006-08-02,20.8,21.35,20.71,20.84,2.97713988,1603800,0.0,1.0
2006-08-01,20.74,21.07,20.31,20.5,2.9285685,1884200,0.0,1.0
2006-07-31,20.9,20.903,20.5,20.69,2.95571133,1198300,0.0,1.0
2006-07-28,20.22,21.18,20.19,20.85,2.97856845,1506300,0.0,1.0
2006-07-27,19.3,21.45,19.25,20.22,2.88856854,3214500,0.0,1.0
2006-07-26,19.15,19.2,18.91,19.03,2.71856871,3339800,0.0,1.0
2006-07-25,18.99,19.34,18.59,18.78,2.68285446,15231800,0.0,1.0
2006-07-24,23.07,23.85,22.38,23.76,3.39428232,3546500,0.0,1.0
2006-07-21,23.27,23.41,22.97,23.05,3.29285385,1169500,0.0,1.0
2006-07-20,23.71,24.11,23.29,23.35,3.33571095,1102700,0.0,1.0
2006-07-19,23.29,23.73,22.91,23.69,3.38428233,1467000,0.0,1.0
2006-07-18,23.78,23.87,22.8,23.4,3.3428538,2318800,0.0,1.0
2006-07-17,24.0,24.58,23.46,23.81,3.40142517,923600,0.0,1.0
2006-07-14,24.8,24.93,23.89,24.19,3.45571083,1225000,0.0,1.0
2006-07-13,24.36,25.35,24.3,24.9,3.5571393,1286400,0.0,1.0
2006-07-12,25.36,25.388,24.49,24.59,3.51285363,942800,0.0,1.0
2006-07-11,26.23,26.43,24.87,25.33,3.61856781,2782200,0.0,1.0
2006-07-10,26.76,26.79,26.17,26.45,3.77856765,446800,0.0,1.0
2006-07-07,26.57,26.92,26.0,26.65,3.80713905,722300,0.0,1.0
2006-07-06,26.57,26.87,26.45,26.62,3.80285334,468000,0.0,1.0
2006-07-05,26.98,27.09,26.43,26.64,3.80571048,684800,0.0,1.0
2006-07-03,27.36,27.56,27.05,27.24,3.89142468,390200,0.0,1.0
2006-06-30,27.25,27.52,26.5,27.21,3.88713897,1009500,0.0,1.0
2006-06-29,26.6,27.26,26.59,27.16,3.87999612,784500,0.0,1.0
2006-06-28,27.12,27.129,26.27,26.56,3.79428192,802700,0.0,1.0
2006-06-27,27.76,27.82,26.87,26.91,3.84428187,745300,0.0,1.0
2006-06-26,27.47,28.05,27.47,27.7,3.9571389,572300,0.0,1.0
2006-06-23,27.51,27.7199,27.25,27.34,3.90571038,540100,0.0,1.0
2006-06-22,28.05,28.49,27.27,27.67,3.95285319,1408500,0.0,1.0
2006-06-21,27.22,27.28,26.54,27.17,3.88142469,1453300,0.0,1.0
2006-06-20,27.64,27.74,26.79,27.08,3.86856756,2353800,0.0,1.0
2006-06-19,27.34,28.17,27.06,28.015,4.002138855,1226500,0.0,1.0
2006-06-16,27.66,27.72,26.93,27.12,3.87428184,1223100,0.0,1.0
2006-06-15,28.02,28.44,27.17,27.7,3.9571389,1246000,0.0,1.0
2006-06-14,27.7,28.2,27.35,27.99,3.99856743,887500,0.0,1.0
2006-06-13,26.9,28.0,26.9,27.54,3.93428178,1547300,0.0,1.0
2006-06-12,27.22,27.55,26.67,27.08,3.86856756,1072900,0.0,1.0
2006-06-09,27.83,27.85,27.1,27.49,3.92713893,1209000,0.0,1.0
2006-06-08,26.17,27.9,25.8,27.78,3.96856746,2426700,0.0,1.0
2006-06-07,26.89,27.23,26.26,26.4,3.7714248,1382400,0.0,1.0
2006-06-06,27.39,27.39,26.6,26.89,3.84142473,1230800,0.0,1.0
2006-06-05,27.77,28.27,27.0,27.28,3.89713896,891800,0.0,1.0
2006-06-02,28.5,28.76,27.8,27.95,3.99285315,554200,0.0,1.0
2006-06-01,27.62,28.51,27.62,28.51,4.07285307,600500,0.0,1.0
2006-05-31,27.68,28.37,27.48,27.69,3.95571033,1190200,0.0,1.0
2006-05-30,28.68,28.99,27.5,27.5,3.9285675,775300,0.0,1.0
2006-05-26,28.8,29.1,28.43,28.83,4.11856731,542500,0.0,1.0
2006-05-25,27.95,28.75,27.93,28.75,4.10713875,779400,0.0,1.0
2006-05-24,27.8,28.2,26.82,27.94,3.99142458,1022200,0.0,1.0
2006-05-23,28.24,28.92,27.71,27.93,3.98999601,870700,0.0,1.0
2006-05-22,27.74,28.21,27.4,28.0,3.999996,1036700,0.0,1.0
2006-05-19,27.65,28.41,27.642,27.87,3.98142459,768900,0.0,1.0
2006-05-18,28.04,28.71,27.69,27.71,3.95856747,656100,0.0,1.0
2006-05-17,28.71,28.81,28.06,28.09,4.01285313,885100,0.0,1.0
2006-05-16,28.5,29.36,28.41,28.66,4.09428162,912900,0.0,1.0
